ID,DiscordId,DiscordUsername,DiscordDiscriminator,CreatedAt,UpdatedAt,WalletAddress,Missions
373,940979702296870933,Hats,1718,2022-05-20T16:28:03.788Z,2022-05-20T16:28:03.852Z,0x7f006d8Aa9fe3Fb0E0C2d3dEfe5CBD2932787a19,{1}
30,700125919880151090,lorenzo,7506,2022-01-28T20:02:04.291Z,2022-04-05T20:28:31.312Z,0x66fB07d111e776c14f4740cd9F41D751A560C3D7,"{1,2,3,5}"
337,599585994173317160,JABAGAMEHUNTER,5280,2022-05-09T19:12:05.611Z,2022-05-10T17:58:22.7Z,0xc1CD735F0a0E106c242590F6472b3e61E2E1EBF4,"{1,2}"
25,193494738798772225,junkajii,6925,2022-01-28T15:55:35.265Z,2022-04-06T16:34:10.579Z,0x214c5Edc1C815D55d289d5599B42131aD3224e5c,"{1,2,3,4,5}"
615,975525100440944653,sieghart,9887,2022-08-04T22:27:08.424Z,2022-08-04T22:27:08.52Z,0xa0c348a4d3B7B861ceC2f9D03DCbAbd2f28e9101,{1}
38,718987378252841012,Dirceu Barquette,4311,2022-01-29T22:32:13.893Z,2022-04-06T20:43:33.377Z,0xe97FD5449F7BF4A3A797D099594EF93C0C4eDF78,"{1,2,3,5}"
2,867200030221533184,yanluiz.eth,8146,2022-01-24T03:02:52.056Z,2022-04-08T20:05:44.094Z,0xCf48d9ae072758c125804791Cf8c4D390B460c19,"{1,2,3,4}"
515,992127751135953018,P4um3ir2nc1,8640,2022-07-03T02:34:25.976Z,2022-07-03T03:54:32.296Z,0x7AeA1B27A4227483cC3D7911093c460BbdD34975,"{1,2,3,4}"
24,444118786535325696,Valter Lobo,4015,2022-01-27T22:51:59.644Z,2022-05-10T16:14:48.793Z,0xF5DCB2b72bd221D5bC345ECdbD65C9f2aDB11Eef,"{1,2,3,4,5,6}"
36,761769635434725397,Vitagliano,1441,2022-01-29T17:49:12.767Z,2022-03-22T01:39:26.956Z,0xA0338CD77f6eDD8a2f8670EeD4BC21CF908Ab918,"{1,2,3,4}"
301,568053623104340003,AntunesMonoKat,4757,2022-05-03T18:22:33.774Z,2022-05-03T19:41:28.491Z,0xBDe4AaB70241996A9Bd8542171B725AFEcB8cb22,"{1,2}"
3,804441494454534154,norival,7696,2022-01-24T03:03:42.823Z,2022-01-24T03:03:42.942Z,0xC6c8E9253698a4A76686a69E5c6d5f1b37168AD9,{1}
4,211298808477253632,Conehard,9495,2022-01-24T03:03:42.85Z,2022-01-24T03:03:42.947Z,0x54A08519CDd6D2a46B02eb9205513Bff85379d25,{1}
6,853938732054872084,Aldo Campos,1999,2022-01-24T03:03:42.88Z,2022-01-24T03:03:42.949Z,0xdd2751646526CaA10be35De596b3C4523D849476,{1}
5,410591148848054284,Eduardo Mendes,6787,2022-01-24T03:03:42.876Z,2022-01-24T03:03:42.955Z,0xE3c6eF54C2D9A1373B4A270F7E9271Af6ad8F29e,{1}
